,AMP_name,xDim,yDim,tDim,data_size,elapsed,loadedXDim,loadedYDim
16,Eastern Recherche,98,413,6214,1006021744.0,419.19218134880066,97,412
2,Arafura,224,210,6214,1169226240.0,346.70397210121155,224,210
58,Zeehan,183,272,6214,1237232256.0,636.7303259372711,182,272
49,South Tasman Rise,379,177,6214,1667415048.0,436.68562865257263,379,178
51,Tasman Fracture,261,355,6214,2303032680.0,434.1367003917694,260,355
18,Flinders,521,191,6214,2473445416.0,564.0597767829895,522,191
34,Lord Howe,171,625,6214,2656485000.0,550.0663647651672,170,625
20,Freycinet,442,243,6214,2669683536.0,595.1037414073944,443,243
39,Murray,247,447,6214,2744326104.0,417.70023107528687,247,447
21,Gascoyne,400,334,6214,3320761600.0,385.85339999198914,400,335
43,Oceanic Shoals,516,297,6214,3809231712.0,549.8677413463593,516,297
24,Great Australian Bight,314,538,6214,4198973792.0,586.0798301696777,314,538
56,Western Eyre,251,680,6214,4242422080.0,610.3651406764984,250,681
3,Argo-Rowley Terrace,394,450,6214,4406968800.0,985.9373836517334,395,450
11,Central Eastern,318,638,6214,5042884704.0,737.9533495903015,318,638
32,Kimberley,544,379,6214,5124710656.0,680.0924582481384,544,379
0,Abrolhos,518,501,6214,6450579408.0,424.55960392951965,517,501
42,Norfolk,429,664,6214,7080380736.0,449.57220554351807,429,664
35,Macquarie Island,611,468,6214,7107523488.0,389.1661493778229,612,467
